,station_count,tesla_station_record_count,tesla_station_share,avg_max_power_kw,total_fast_charge_count,total_connection_count,population,gdp,gdp_per_capita,road_density,ev_stock,ev_sales,iea_ev_charging_points,stations_per_million_people,stations_per_billion_gdp,stations_per_100k_ev_stock
station_count,1.0,0.9204193953209852,0.010486949896315968,-0.054653079909872,0.935717658827869,0.8611721203966894,0.12676320611636985,0.9170569518320391,0.256400713788119,,0.005424198674262374,0.035260761626491784,0.0024154279339680157,0.17177458945783777,0.21133724360400943,0.329333812916619
tesla_station_record_count,0.9204193953209852,1.0,0.10856078100153331,-0.04894238354658429,0.8341537245328806,0.6629344539733765,0.17059413223461092,0.9681968961697376,0.21859455542427353,,0.07039007914424629,0.08936271797797171,0.058551410937472514,0.09296396747017813,0.09781720176948176,0.19850896215172953
tesla_station_share,0.010486949896315968,0.10856078100153331,1.0,-0.03453152967657846,-0.007103723436590299,0.005433674723706453,0.34917495669609433,0.04782064707715332,0.31337472728684024,,0.6782788435352518,0.6611111798284389,0.6800617411645181,0.01091350617699101,0.015390401187115535,-0.15661474742656767
avg_max_power_kw,-0.054653079909872,-0.04894238354658429,-0.03453152967657846,1.0,-0.041017081178590986,-0.0622628098876981,0.5317647477902843,0.054918916081376785,-0.10968108065959553,,0.023169147124955356,0.06068911350564959,-0.040394049495015905,-0.1167377597341923,-0.11996892806930688,-0.16302854027829583
total_fast_charge_count,0.935717658827869,0.8341537245328806,-0.007103723436590299,-0.041017081178590986,1.0,0.7801750398083713,0.11388544631519039,0.8335048130342981,0.2591565913811562,,-0.022455798389292892,0.010644185591215428,-0.02933031769832187,0.205732959910347,0.2779079059829241,0.4418234052088841
total_connection_count,0.8611721203966894,0.6629344539733765,0.005433674723706453,-0.0622628098876981,0.7801750398083713,1.0,0.07766478127888224,0.6656631118227032,0.27063137158330114,,-0.007813626803356873,0.026793440258626004,0.0051407915163568345,0.23242306318284914,0.28080051360596453,0.2817146577443561
population,0.12676320611636985,0.17059413223461092,0.34917495669609433,0.5317647477902843,0.11388544631519039,0.07766478127888224,1.0,0.32728465625451625,-0.11953984022577194,,0.7209204512684476,0.7445069465605598,0.6752541289130314,-0.08452294611487388,-0.10135493748125117,-0.19466767886527692
gdp,0.9170569518320391,0.9681968961697376,0.04782064707715332,0.054918916081376785,0.8335048130342981,0.6656631118227032,0.32728465625451625,1.0,0.20071735928689624,,0.6906995257196157,0.6021106144767476,0.6288737258888957,0.07573504859588653,0.05341625984755994,0.1613792173205885
gdp_per_capita,0.256400713788119,0.21859455542427353,0.31337472728684024,-0.10968108065959553,0.2591565913811562,0.27063137158330114,-0.11953984022577194,0.20071735928689624,1.0,,0.08804845109430454,0.0009677130920276014,0.32739266787896565,0.4927285413435849,0.3616212580803271,0.09449084733153985
road_density,,,,,,,,,,,,,,,,
ev_stock,0.005424198674262374,0.07039007914424629,0.6782788435352518,0.023169147124955356,-0.022455798389292892,-0.007813626803356873,0.7209204512684476,0.6906995257196157,0.08804845109430454,,1.0,0.9991110343100473,0.9970122652791237,-0.07777540288562697,0.00907276080997349,-0.14508152740572408
ev_sales,0.035260761626491784,0.08936271797797171,0.6611111798284389,0.06068911350564959,0.010644185591215428,0.026793440258626004,0.7445069465605598,0.6021106144767476,0.0009677130920276014,,0.9991110343100473,1.0,0.9941633149246905,-0.06926237606423216,-0.0019463923658507673,-0.14962464564190947
iea_ev_charging_points,0.0024154279339680157,0.058551410937472514,0.6800617411645181,-0.040394049495015905,-0.02933031769832187,0.0051407915163568345,0.6752541289130314,0.6288737258888957,0.32739266787896565,,0.9970122652791237,0.9941633149246905,1.0,-0.07039295475153803,0.2182127197175011,-0.14036147376000113
stations_per_million_people,0.17177458945783777,0.09296396747017813,0.01091350617699101,-0.1167377597341923,0.205732959910347,0.23242306318284914,-0.08452294611487388,0.07573504859588653,0.4927285413435849,,-0.07777540288562697,-0.06926237606423216,-0.07039295475153803,1.0,0.8989390126029886,0.3439877484109219
stations_per_billion_gdp,0.21133724360400943,0.09781720176948176,0.015390401187115535,-0.11996892806930688,0.2779079059829241,0.28080051360596453,-0.10135493748125117,0.05341625984755994,0.3616212580803271,,0.00907276080997349,-0.0019463923658507673,0.2182127197175011,0.8989390126029886,1.0,0.45896956523846216
stations_per_100k_ev_stock,0.329333812916619,0.19850896215172953,-0.15661474742656767,-0.16302854027829583,0.4418234052088841,0.2817146577443561,-0.19466767886527692,0.1613792173205885,0.09449084733153985,,-0.14508152740572408,-0.14962464564190947,-0.14036147376000113,0.3439877484109219,0.45896956523846216,1.0
